Filename,Segment,WC,WPS,Sixltr,Dic,Функция,Местоимение,Личноеместоимение,я,мы,ты,онаон,они,неопределенныеместоимен,вы,вербальные,сленг,Наречие,Предлог,Союз,Отрицание,quant,Числительное,ВульгаризмТабу,Общество,Семья,Друг,Человечество,Действие,Позитив,Негатив,Беспокойство,Гнев,Грусть,Когнитив,Интуиция,Мотивация,Несоответствие,Попытка,Уверенность,Помеха,Включение,Исключение,Перцепция,Видение,Слышание,Чувствование,Биология,Тело,Здоровье,Секс,Потребление,Сравнение,Стимул,Пространство,Время,Работа,Успех,Досуг,Дом,Деньги,Религия,Смерть,Согласие,Междометие,Наполнение,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
E2T12HF7DVgDyo2apqO3Qw_d.txt,1,128,11.64,33.59,84.38,47.66,9.38,9.38,3.12,4.69,0.00,0.78,0.78,0.00,0.00,11.72,0.00,1.56,12.50,10.16,1.56,7.81,1.56,0.00,15.62,0.00,0.00,6.25,7.81,5.47,1.56,0.00,0.00,0.00,26.56,1.56,2.34,1.56,2.34,4.69,0.78,13.28,0.78,3.12,1.56,0.78,0.00,3.12,0.00,2.34,0.78,0.00,28.12,3.91,15.62,6.25,0.78,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,24.22,10.16,11.72,0.00,0.00,0.00,0.00,0.78,1.56,0.00,0.00,0.00
E6HnYOg_LBTxiFKNQbsNSw_d.txt,1,142,14.20,38.73,77.46,42.96,15.49,7.75,0.70,4.93,0.00,1.41,4.93,0.70,0.00,10.56,0.00,0.00,11.27,5.63,2.11,6.34,0.00,0.00,8.45,0.00,0.00,0.00,10.56,7.75,2.11,0.00,1.41,0.00,19.01,5.63,0.70,0.00,0.70,4.23,0.70,9.15,0.00,0.70,0.70,0.00,0.00,3.52,0.00,2.82,0.00,0.70,23.94,3.52,16.90,0.70,0.70,2.82,0.00,0.00,1.41,0.00,0.70,0.70,0.00,0.00,19.72,7.04,9.86,0.00,0.00,0.00,0.00,1.41,1.41,0.00,0.00,0.00
Y-oL9e5ZdMN5DytW7XMqGg_d.txt,1,308,11.41,26.95,85.06,57.47,16.88,13.31,9.42,0.32,0.32,3.25,2.27,0.65,0.00,18.83,0.00,4.55,14.94,11.69,4.22,4.55,0.00,0.00,8.77,0.97,0.32,0.00,8.12,3.25,4.87,0.65,1.95,0.65,21.43,1.95,3.90,0.97,3.25,3.25,0.32,8.77,1.62,0.97,0.32,0.32,0.32,0.97,0.32,0.65,0.00,0.00,21.10,1.30,13.96,4.55,3.57,2.60,0.65,0.00,0.00,0.65,0.00,1.30,0.00,0.97,20.13,9.42,8.77,0.32,0.00,0.00,0.00,0.65,0.65,0.00,0.00,0.32
V1JoRpA7sT7eViQ56cG4Iw_shi.txt,1,397,7.35,32.24,79.35,42.07,15.37,11.34,9.07,0.00,0.00,1.26,2.77,1.26,0.00,17.13,0.00,2.77,7.56,8.56,2.77,2.52,0.50,0.00,7.81,0.00,0.00,0.00,19.65,14.61,3.78,3.53,1.01,0.25,23.17,4.53,2.27,2.77,2.52,5.04,1.76,5.04,4.03,1.76,0.76,0.76,0.25,3.78,0.50,1.26,1.26,1.01,15.11,2.77,8.31,4.53,0.25,4.79,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.76,34.76,12.59,10.58,0.00,0.50,1.01,0.76,0.50,8.56,0.00,0.00,0.25
f_WfzmORHwvQs8-6Zt6cdQ_d.txt,1,273,13.65,37.73,81.68,43.96,11.36,9.16,5.13,1.47,0.00,2.56,1.10,0.37,0.00,14.29,0.00,2.56,8.42,13.55,2.20,4.76,1.10,0.00,10.26,0.00,0.00,4.40,9.52,8.06,0.37,0.00,0.37,0.00,23.44,2.93,4.03,1.47,2.56,3.30,1.10,10.99,2.20,2.20,1.47,0.00,0.73,2.93,0.00,1.83,0.00,1.10,15.38,2.20,10.99,2.20,3.66,2.56,0.37,0.73,1.47,0.00,0.00,0.00,0.00,2.20,16.48,7.33,5.86,1.47,0.00,0.00,0.00,0.37,0.73,0.00,0.73,0.00
ETG-F33qQmGXZ8IYjhLmWw_d.txt,1,154,9.06,22.08,87.01,53.90,19.48,16.23,11.04,0.65,0.00,4.55,3.25,0.00,0.00,17.53,0.00,4.55,11.69,9.09,0.65,2.60,0.65,0.00,11.04,1.30,0.00,3.25,13.64,11.69,1.95,0.00,0.00,1.30,19.48,4.55,1.30,0.65,1.30,1.95,1.30,11.69,0.65,1.95,0.65,0.00,1.30,3.25,0.00,1.95,1.30,0.00,29.87,2.60,18.18,7.79,0.65,0.65,1.95,0.65,0.00,0.00,0.00,0.00,0.00,0.65,24.03,11.04,6.49,0.65,0.00,0.00,0.00,0.65,5.19,0.00,0.00,0.00
qWCJvKcfPRptLTyts2acvQ_d.txt,1,226,10.76,23.01,87.17,54.87,20.35,17.70,14.16,0.00,0.00,2.65,3.10,0.44,0.00,23.01,0.00,4.87,11.06,9.73,4.42,1.33,0.00,0.00,11.06,0.00,0.00,1.77,9.73,4.87,2.21,0.44,0.00,0.88,19.47,4.42,2.21,1.77,5.31,3.10,0.44,4.87,2.21,2.65,0.88,1.33,0.44,2.21,0.44,0.44,0.88,0.44,22.57,3.98,11.50,5.75,1.33,1.33,0.88,0.44,0.00,0.44,0.00,0.00,0.00,1.33,25.66,9.29,10.18,0.88,0.00,0.44,0.00,1.33,1.77,0.00,1.77,0.00
mREDbPPoIghuyqAHWmn8Fw_shi.txt,1,239,21.73,23.43,84.94,55.23,14.64,11.72,5.86,1.67,0.42,3.35,1.67,0.42,0.00,20.50,0.00,2.93,10.46,16.32,1.67,3.35,0.42,0.00,13.81,0.00,1.67,2.09,13.81,10.88,1.67,0.84,0.42,0.42,23.43,5.86,2.51,2.93,0.84,1.67,0.84,10.88,2.09,0.42,0.00,0.42,0.00,1.26,0.42,0.42,0.00,0.42,15.48,1.26,12.13,1.67,1.67,3.77,0.00,0.00,0.42,0.00,0.00,0.00,0.00,2.93,16.74,4.18,7.53,0.00,0.84,0.00,0.42,2.51,0.84,0.00,0.42,0.00
vStKzsRu3yh6Q7myEXUwbA_d.txt,1,169,6.50,17.16,89.35,59.17,21.30,12.43,9.47,0.00,1.18,1.78,7.10,1.18,0.00,27.22,0.00,2.37,8.28,11.24,4.14,5.33,0.00,0.00,10.06,0.00,1.18,2.96,13.61,8.28,4.73,1.78,1.18,0.00,20.71,4.73,0.59,2.96,2.96,1.78,0.00,11.83,4.14,2.96,0.59,1.18,1.18,0.59,0.00,0.59,0.00,0.00,20.71,1.18,12.43,2.96,1.18,0.59,0.59,0.00,0.00,0.00,0.59,0.59,0.00,0.59,32.54,17.75,6.51,0.00,0.00,1.18,0.00,1.18,5.92,0.00,0.00,0.00
sw_LBqbBrY8pBucysQ9Ntw_shi.txt,1,67,5.15,34.33,82.09,38.81,23.88,16.42,16.42,0.00,0.00,0.00,7.46,0.00,0.00,26.87,0.00,2.99,1.49,7.46,2.99,2.99,0.00,0.00,13.43,0.00,2.99,0.00,28.36,22.39,0.00,0.00,0.00,0.00,11.94,0.00,1.49,1.49,1.49,0.00,0.00,8.96,2.99,4.48,0.00,4.48,0.00,7.46,0.00,1.49,5.97,0.00,10.45,2.99,5.97,1.49,1.49,1.49,7.46,0.00,0.00,4.48,0.00,1.49,0.00,1.49,29.85,20.90,7.46,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00
