Filename,Segment,WC,WPS,Sixltr,Dic,Функция,Местоимение,Личноеместоимение,я,мы,ты,онаон,они,неопределенныеместоимен,вы,вербальные,сленг,Наречие,Предлог,Союз,Отрицание,quant,Числительное,ВульгаризмТабу,Общество,Семья,Друг,Человечество,Действие,Позитив,Негатив,Беспокойство,Гнев,Грусть,Когнитив,Интуиция,Мотивация,Несоответствие,Попытка,Уверенность,Помеха,Включение,Исключение,Перцепция,Видение,Слышание,Чувствование,Биология,Тело,Здоровье,Секс,Потребление,Сравнение,Стимул,Пространство,Время,Работа,Успех,Досуг,Дом,Деньги,Религия,Смерть,Согласие,Междометие,Наполнение,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
UAuG9xa8-MVYvHRHcbbkWQ.txt,1,344,13.23,31.98,86.92,52.91,16.86,10.17,2.91,3.49,0.29,3.20,2.33,1.74,0.87,11.92,0.00,1.74,13.08,10.76,2.33,4.94,0.00,0.00,13.66,0.00,0.87,1.74,13.66,12.21,1.45,0.29,0.29,0.29,27.33,4.36,4.07,2.33,3.49,4.07,1.45,11.92,1.74,3.49,1.16,0.29,0.87,1.45,0.00,1.45,0.00,0.00,20.06,1.45,15.41,2.91,0.87,2.33,0.58,0.00,0.00,0.00,0.00,2.03,0.00,0.29,18.31,7.56,8.72,0.00,0.00,0.00,0.00,1.16,0.58,0.00,0.29,0.00
4yqcYinxReYtRpuTrQCpMA.txt,1,544,20.92,32.35,79.23,48.35,11.21,7.17,4.23,0.00,0.00,2.94,1.47,1.65,0.00,13.24,0.00,2.21,11.40,13.79,2.21,2.76,0.92,0.00,7.35,0.55,0.55,0.55,8.09,5.15,2.39,0.55,0.37,0.74,25.37,2.94,1.84,1.84,2.39,2.94,1.65,11.21,3.31,3.68,1.47,0.74,0.92,1.29,0.18,0.55,0.00,0.55,21.88,2.57,12.32,5.88,2.94,2.76,0.74,0.55,0.37,0.18,0.18,0.74,0.37,0.74,30.70,4.41,11.95,0.18,0.00,0.18,0.00,5.33,6.62,0.00,2.02,0.00
hsZcUObC06mThxfZ1nHnHw.txt,1,427,11.86,28.34,82.67,51.76,13.11,8.90,6.56,0.47,0.00,0.94,4.22,0.47,0.00,17.80,0.00,2.34,13.58,9.84,5.15,5.62,0.00,0.00,7.03,0.00,0.00,1.64,11.01,7.73,2.11,0.47,0.94,0.47,18.50,4.68,3.04,0.47,3.04,2.11,1.17,8.20,1.41,0.94,0.23,0.00,0.47,2.34,0.23,0.70,0.47,0.94,21.78,2.11,14.29,3.28,2.11,1.87,0.47,0.00,0.23,0.23,0.47,0.23,0.00,1.17,22.25,8.67,9.84,0.00,0.00,0.00,0.00,1.41,1.87,0.00,0.47,0.00
F6Zo9nr4yfuFmvVDQjnLCQ.txt,1,308,13.39,27.27,88.96,54.22,15.26,11.04,6.49,0.97,0.00,3.25,2.60,0.65,0.00,15.58,0.00,4.87,10.06,13.96,2.92,4.22,0.65,0.00,13.64,0.32,1.30,1.95,7.79,5.84,1.30,0.32,0.65,0.00,28.57,3.90,1.30,0.97,4.87,3.90,0.97,11.04,3.57,0.65,0.32,0.97,0.00,2.92,0.00,1.30,0.65,0.97,17.53,2.60,10.06,3.90,1.62,1.62,0.00,0.65,0.32,0.00,0.32,1.95,0.32,1.62,23.38,7.47,9.09,0.00,0.00,0.00,0.00,2.92,3.25,0.00,0.65,0.00
bP3XiaXe1a90kCy4axW18A.txt,1,272,11.83,35.29,84.56,45.59,13.60,9.93,5.88,0.74,0.00,3.31,2.94,0.37,0.00,13.97,0.00,3.68,16.54,6.62,2.94,1.47,0.00,0.00,13.24,1.10,0.00,0.37,10.66,6.62,2.21,0.74,1.10,0.37,20.59,3.31,2.21,0.00,2.57,2.57,1.84,12.13,0.37,2.21,0.37,0.37,1.10,2.57,0.00,0.74,1.84,0.00,24.63,2.21,17.28,5.15,1.10,1.47,3.31,0.37,0.00,0.37,0.00,0.00,0.00,0.74,22.79,8.46,9.19,0.00,0.00,0.00,0.00,1.84,0.74,0.00,2.21,0.37
JsOby8sGD9-6skM6l4QROQ.txt,1,269,15.82,38.29,80.30,47.96,11.52,4.83,1.12,0.00,0.00,3.35,3.72,0.74,0.00,18.96,0.00,2.60,14.87,6.32,4.83,2.60,1.86,0.00,11.52,0.00,0.00,2.97,7.43,3.72,1.86,1.12,0.00,0.74,20.82,6.32,1.49,1.49,2.23,2.97,1.12,7.81,0.74,1.86,0.74,0.37,0.74,0.37,0.00,0.00,0.00,0.37,19.33,0.74,13.75,4.46,2.97,3.35,0.74,0.37,0.37,0.00,0.00,0.74,0.37,1.12,21.93,4.83,12.27,0.37,0.00,1.49,0.00,0.00,2.97,0.00,0.00,0.00
gWrxOHA0FzPQ0QvR8qkf6w.txt,1,514,17.13,26.07,82.10,52.53,15.37,9.14,4.67,0.19,0.00,4.28,2.92,1.56,0.00,17.90,0.00,2.72,10.70,13.42,2.72,3.89,0.19,0.00,9.73,0.58,0.00,1.56,7.98,5.64,1.17,0.58,0.58,0.00,24.51,5.64,2.92,0.97,2.92,2.33,0.58,11.09,2.72,1.17,0.78,0.19,0.19,0.97,0.39,0.39,0.00,0.19,19.65,3.31,10.89,6.03,3.70,2.14,0.39,0.00,0.00,0.39,0.00,0.00,0.19,1.17,22.18,5.25,13.42,0.19,0.00,0.97,0.00,1.95,0.39,0.00,0.00,0.00
JaAs-40t-tcnb0WJ2DzGVA.txt,1,345,16.43,27.54,88.70,52.17,15.94,11.30,6.96,1.45,0.00,1.45,3.48,0.29,0.00,17.10,0.00,4.06,10.43,12.46,3.77,3.19,0.29,0.00,15.36,0.29,3.48,1.74,14.78,11.01,2.32,0.29,0.87,1.16,20.58,2.32,1.74,1.45,2.90,3.19,0.29,11.88,2.90,2.61,1.16,0.29,0.87,3.77,0.00,1.16,1.74,0.87,14.78,2.03,7.54,5.51,1.74,2.32,2.03,1.45,0.00,0.00,0.00,1.16,0.00,0.00,14.20,6.09,6.09,0.29,0.00,0.00,0.00,0.87,0.00,0.00,0.87,0.00
1G7WdeM2g1ka_SBOF6wO0g.txt,1,317,15.85,30.28,86.12,52.68,15.46,9.78,7.26,0.32,0.00,1.58,3.79,0.32,0.00,17.67,0.00,2.84,10.41,16.72,3.15,1.89,0.00,0.00,9.78,0.63,1.26,0.95,11.36,8.52,1.58,1.26,0.32,0.32,27.13,5.05,2.84,1.58,4.10,0.32,1.58,14.20,3.15,3.79,0.00,1.89,0.95,1.89,0.00,1.26,0.32,0.32,15.77,1.58,10.09,3.47,1.26,1.89,0.32,0.00,0.32,0.00,0.63,0.95,0.00,1.26,22.08,6.31,12.93,0.00,0.00,0.00,0.00,0.95,0.63,0.00,1.26,0.00
qnDwvYGArrxDT66r-uRwMg.txt,1,335,30.45,25.37,76.72,46.27,16.12,10.45,4.18,1.79,0.30,3.88,3.88,0.90,0.00,16.12,0.00,2.09,10.75,9.85,2.39,3.58,0.30,0.00,8.36,0.00,0.00,0.00,8.06,7.16,0.90,0.00,0.00,0.30,21.49,4.48,2.39,1.49,2.99,2.39,0.30,8.96,3.28,4.48,0.60,2.69,1.19,0.30,0.30,0.00,0.00,0.00,18.21,2.09,11.64,3.58,1.49,4.48,1.19,0.30,1.19,0.90,0.30,0.30,0.00,1.19,25.97,9.25,10.75,1.79,0.00,0.00,0.30,2.09,1.79,0.00,0.00,0.00
