Filename,Segment,WC,WPS,Sixltr,Dic,Функция,Местоимение,Личноеместоимение,я,мы,ты,онаон,они,неопределенныеместоимен,вы,вербальные,сленг,Наречие,Предлог,Союз,Отрицание,quant,Числительное,ВульгаризмТабу,Общество,Семья,Друг,Человечество,Действие,Позитив,Негатив,Беспокойство,Гнев,Грусть,Когнитив,Интуиция,Мотивация,Несоответствие,Попытка,Уверенность,Помеха,Включение,Исключение,Перцепция,Видение,Слышание,Чувствование,Биология,Тело,Здоровье,Секс,Потребление,Сравнение,Стимул,Пространство,Время,Работа,Успех,Досуг,Дом,Деньги,Религия,Смерть,Согласие,Междометие,Наполнение,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
n8RSbMB84PYhaDg2XkbN7Q.txt,1,373,16.95,24.66,86.86,54.96,17.69,11.26,5.09,2.14,0.80,2.41,4.83,0.27,0.00,15.82,0.00,4.83,9.38,13.14,2.68,5.36,0.00,0.00,12.33,0.00,0.00,2.68,12.60,7.77,3.22,1.34,1.07,1.07,31.37,7.77,6.97,2.14,3.75,3.22,0.00,13.14,2.95,2.41,0.27,0.80,0.27,0.27,0.00,0.27,0.00,0.00,15.01,1.34,9.92,2.41,1.34,2.14,0.27,0.00,0.27,0.00,0.00,0.54,0.00,2.95,24.66,9.12,11.53,0.00,0.00,0.54,0.00,1.34,2.14,0.00,0.00,0.00
D-dgIu8JtEOsu4wdVzbE4w.txt,1,19773,19773.00,23.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.96,0.23,45.24,45.53,0.00,0.05,0.10,2.47,106.33,0.00,0.02,35.99
ZM26gGf0XOvK2Uva--H3hw.txt,1,299,5.98,23.41,82.61,52.84,16.39,11.04,4.68,3.68,0.67,2.01,3.34,0.67,0.33,20.74,0.00,2.68,7.36,12.04,6.69,4.68,0.00,0.00,17.06,0.00,1.34,2.68,15.05,12.71,0.33,0.67,0.00,0.00,21.40,4.01,3.34,0.67,1.00,3.34,0.00,8.36,3.01,0.67,0.33,0.33,0.00,4.68,0.33,0.33,4.01,0.00,16.05,2.01,10.37,1.67,0.67,2.01,0.00,0.00,0.33,0.00,0.00,0.33,0.00,1.34,30.10,15.72,9.36,0.00,0.00,1.00,0.00,3.34,0.67,0.00,0.00,0.00
5v1qp0-oaIfwsQACMRX5qg.txt,1,17230,17230.00,23.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.47,0.17,45.07,45.19,0.00,0.00,0.00,2.47,105.72,0.00,0.00,35.85
4DbBEotooonrR5E2zKiBgQ.txt,1,301,12.54,24.25,89.04,52.49,17.28,9.97,4.98,0.66,2.33,1.33,5.65,0.66,0.00,20.60,0.00,2.33,11.63,9.97,2.99,2.99,0.00,0.00,9.63,0.00,0.00,1.33,9.97,6.64,2.66,1.99,0.33,0.33,23.59,8.31,2.99,1.99,3.32,3.99,1.00,10.63,1.66,1.66,1.00,0.33,0.33,2.99,1.00,0.33,0.00,1.66,24.92,2.99,14.95,5.65,2.66,4.65,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.66,16.61,7.97,5.98,0.33,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00
"_z65Tje_TD0aL9QOqcKpPQ.txt",1,18749,18749.00,23.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.14,0.16,45.14,45.26,0.00,0.00,0.00,2.44,105.68,0.00,0.02,35.44
vhvC_jmt86uOaF6mcXyYXw.txt,1,528,18.21,33.33,85.80,47.35,11.93,7.01,1.89,1.89,0.00,2.46,3.79,0.76,0.00,12.69,0.00,1.89,9.85,10.61,3.41,3.98,1.33,0.00,15.34,0.76,0.57,4.17,10.42,6.44,2.27,0.57,1.14,0.19,22.92,4.36,1.89,1.33,3.03,2.84,1.52,10.04,3.41,1.89,0.76,0.57,0.38,2.84,1.33,0.57,0.76,0.19,18.94,1.52,11.36,4.36,2.84,4.36,1.33,0.19,0.38,0.00,0.19,0.00,0.00,0.38,21.78,5.49,13.45,0.38,0.00,0.19,0.19,1.33,0.38,0.00,0.38,0.00
Ld_tPDtJSkenIEKr5x9EfA.txt,1,296,24.67,27.36,83.45,53.04,17.23,12.16,2.70,5.41,0.00,2.70,4.39,0.68,0.34,13.51,0.00,4.05,11.49,9.80,1.01,4.05,0.00,0.34,14.53,0.00,0.00,1.69,8.45,5.41,2.70,0.34,0.68,0.68,24.66,5.41,2.70,1.69,3.04,4.05,0.68,7.77,3.72,3.72,1.69,0.68,1.35,1.69,0.34,1.35,0.00,0.00,22.97,2.70,16.22,1.69,1.35,1.01,0.34,0.00,0.00,0.34,0.00,1.69,0.00,1.35,24.32,5.41,7.77,0.34,0.00,0.68,0.00,0.68,7.43,0.00,2.03,0.00
Mk9w1QxVEItDMRu0ZsNxTQ.txt,1,22681,22681.00,23.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.28,0.21,45.16,45.32,0.00,0.02,0.00,2.61,106.10,0.00,0.00,35.85
x3jlm4nW6zJ9eSAnbNG4Xw.txt,1,19261,19261.00,23.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.87,0.22,44.46,44.82,0.00,0.01,0.00,2.38,104.57,0.00,0.00,36.40
