Filename,Segment,WC,WPS,Sixltr,Dic,Функция,Местоимение,Личноеместоимение,я,мы,ты,онаон,они,неопределенныеместоимен,вы,вербальные,сленг,Наречие,Предлог,Союз,Отрицание,quant,Числительное,ВульгаризмТабу,Общество,Семья,Друг,Человечество,Действие,Позитив,Негатив,Беспокойство,Гнев,Грусть,Когнитив,Интуиция,Мотивация,Несоответствие,Попытка,Уверенность,Помеха,Включение,Исключение,Перцепция,Видение,Слышание,Чувствование,Биология,Тело,Здоровье,Секс,Потребление,Сравнение,Стимул,Пространство,Время,Работа,Успех,Досуг,Дом,Деньги,Религия,Смерть,Согласие,Междометие,Наполнение,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Ry7hP_olvKrDrlAayq6KWg.txt,1,178,13.69,37.08,88.20,43.26,11.24,8.43,1.69,1.12,0.00,5.06,0.56,1.12,0.00,12.36,0.00,3.37,9.55,11.80,3.37,2.81,0.00,0.56,17.42,0.00,0.00,6.18,6.74,5.06,0.56,0.56,0.56,0.00,27.53,6.18,4.49,0.56,2.81,3.37,2.81,6.74,3.37,1.69,1.12,0.00,0.00,1.12,0.56,0.56,0.00,0.00,25.84,5.06,11.80,7.87,6.18,1.12,0.00,0.00,0.00,0.00,0.00,1.12,0.00,1.69,23.60,7.30,14.04,0.56,0.00,0.00,0.00,0.56,1.12,0.00,0.00,0.00
d3npJZeABm4CRaAg3ku1Cg.txt,1,433,25.47,31.87,81.76,47.11,16.63,9.70,0.92,2.08,0.46,5.77,5.31,1.39,0.00,9.93,0.00,4.39,10.39,8.31,1.62,3.23,0.69,0.00,16.86,0.92,0.23,4.62,9.70,7.39,1.39,0.46,0.23,0.69,21.02,3.70,2.54,0.69,3.46,1.62,0.92,10.16,2.54,2.31,1.62,0.46,0.23,2.54,0.23,1.85,0.23,0.23,23.33,2.08,15.94,5.31,1.62,1.39,0.23,0.46,0.00,0.00,0.00,0.23,0.23,0.92,19.17,4.62,11.55,0.46,0.46,0.00,0.00,1.62,0.46,0.00,0.00,0.00
P2CRyaT3hrOnJ6wbGkHuYQ.txt,1,216,8.31,31.94,84.26,43.98,9.72,5.09,0.46,1.39,0.46,1.85,3.24,1.39,0.46,13.89,0.00,0.93,10.65,9.72,6.48,2.31,0.93,0.00,15.74,0.00,0.46,5.09,13.43,10.19,2.78,0.93,1.85,0.46,24.07,4.17,0.46,2.31,2.78,4.63,1.39,9.26,2.31,0.46,0.46,0.00,0.00,0.93,0.00,0.46,0.00,0.46,21.76,2.31,15.74,3.70,2.78,3.24,0.00,0.00,0.93,0.46,2.31,0.00,0.46,0.00,21.76,10.65,7.87,0.46,0.00,1.39,0.00,1.39,0.00,0.00,0.00,0.00
vc6QJ5nb_uy1rgzuTNGaPA.txt,1,314,10.13,21.97,84.39,48.73,15.61,9.55,2.23,2.87,0.64,2.87,3.18,2.23,0.00,12.10,0.00,2.23,9.24,11.15,3.18,4.46,0.00,0.00,13.06,0.32,0.00,2.23,12.10,6.37,3.82,1.91,0.00,2.23,24.84,6.05,1.91,1.59,2.87,3.50,0.00,10.83,1.59,1.59,0.96,0.32,0.32,2.23,0.64,0.96,0.32,0.32,18.15,1.27,10.83,5.73,1.91,3.18,0.32,0.32,0.96,0.00,0.00,0.32,0.32,1.27,20.38,8.28,7.32,0.32,0.00,1.59,0.64,1.59,0.64,0.00,0.00,0.00
IkhfzZoIf6vHTDPdDbssvA.txt,1,301,15.05,29.24,88.37,49.17,12.29,8.97,1.66,2.33,0.00,4.65,2.99,0.00,0.00,13.29,0.00,3.32,13.29,12.62,1.33,3.65,0.00,0.00,17.61,0.00,1.66,4.65,13.95,10.30,2.99,0.33,1.99,0.33,32.23,6.64,3.99,2.99,1.99,5.32,1.66,10.63,3.65,1.00,0.33,1.00,0.00,1.00,0.00,0.66,0.33,0.00,18.27,1.66,13.62,2.99,2.33,4.32,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.66,18.94,5.98,8.64,0.33,0.00,0.66,0.00,0.66,2.66,0.00,0.00,0.00
RhsKVSh7Ssgp80nuqghmaQ.txt,1,384,19.20,31.77,85.42,52.60,16.15,8.85,1.30,3.65,0.78,2.86,3.12,1.30,0.78,10.94,0.00,3.65,11.72,10.94,2.86,3.91,0.52,0.52,15.10,0.00,1.04,3.39,10.42,6.25,2.86,1.04,1.04,0.52,25.78,5.73,3.91,1.56,5.21,2.34,0.52,10.16,3.12,1.56,0.78,0.26,0.00,1.82,0.52,1.04,0.00,0.26,20.31,2.86,11.46,3.39,1.82,2.08,1.56,0.00,0.00,0.52,0.00,1.30,0.00,1.56,25.78,5.47,13.02,1.04,0.26,0.52,0.26,3.12,2.08,0.00,0.00,0.00
wECa2A8oAQ1J36AXI3dgog.txt,1,792,9.10,27.27,86.87,43.43,9.60,2.53,0.88,0.38,0.00,0.63,3.79,0.63,0.00,13.76,0.00,2.15,9.72,11.62,3.28,3.79,0.76,0.00,13.01,0.13,1.01,3.03,17.55,12.12,3.28,0.63,2.65,0.25,24.75,5.56,2.27,1.39,3.28,3.91,0.00,10.48,2.90,1.89,0.38,1.14,0.25,2.40,0.00,0.51,0.51,1.39,22.73,1.01,16.04,5.93,1.39,2.02,0.88,0.13,0.38,0.25,1.77,0.63,0.00,0.88,29.17,9.85,10.48,0.13,0.00,0.00,1.26,1.64,5.30,0.00,0.51,0.00
6wSo1VjwhF7QWB-V4khyjQ.txt,1,309,15.45,27.51,86.73,52.43,17.15,12.62,8.41,0.32,0.00,3.88,1.29,1.29,0.00,20.39,0.00,3.24,12.30,9.71,2.91,3.88,0.00,0.00,12.30,0.65,0.00,2.91,10.68,8.74,0.65,0.00,0.00,0.32,26.54,8.74,3.88,2.27,2.59,4.53,0.00,7.77,0.65,0.32,0.32,0.00,0.00,1.29,0.00,0.65,0.65,0.00,15.86,0.32,10.03,4.53,2.27,1.62,0.32,0.32,0.97,0.00,0.00,1.62,0.32,1.94,22.98,6.15,13.59,0.00,0.00,0.00,0.32,2.27,0.65,0.00,0.00,0.00
yeN8bbCXl4-mtnkCSMSjHA.txt,1,244,22.18,36.48,81.15,45.49,10.66,5.33,0.41,1.23,0.00,2.87,2.46,2.05,0.41,10.66,0.00,3.69,9.43,13.11,2.46,3.28,0.41,0.41,12.30,0.00,1.64,2.46,10.25,6.56,2.87,0.41,0.82,0.41,25.00,3.28,1.64,1.64,1.23,4.92,0.41,10.25,3.69,1.64,1.23,0.41,0.00,0.82,0.41,0.00,0.00,0.41,18.03,1.64,10.66,6.15,2.87,2.05,1.64,0.41,0.41,0.00,0.00,0.82,0.00,0.82,15.57,4.10,6.15,0.41,0.00,0.41,0.00,0.41,2.46,0.00,1.64,0.00
kFJG3wrb6Ql3xMzbJSR_eA.txt,1,311,23.92,32.15,84.57,51.45,12.22,8.36,1.61,3.54,0.00,1.93,2.57,0.32,0.00,10.29,0.00,2.57,10.61,16.72,3.22,2.89,0.32,0.00,12.54,0.32,0.96,3.22,9.00,5.47,3.22,0.32,0.64,0.32,33.12,6.11,4.18,4.18,4.18,3.86,1.29,10.61,4.18,0.32,0.00,0.32,0.00,0.32,0.00,0.00,0.00,0.32,21.22,1.61,14.47,4.82,5.47,3.86,0.96,0.32,0.32,0.32,0.32,0.00,0.32,1.61,16.08,4.18,8.68,0.32,0.00,0.96,0.00,0.64,1.29,0.00,0.00,0.00
