Filename,Segment,WC,WPS,Sixltr,Dic,Функция,Местоимение,Личноеместоимение,я,мы,ты,онаон,они,неопределенныеместоимен,вы,вербальные,сленг,Наречие,Предлог,Союз,Отрицание,quant,Числительное,ВульгаризмТабу,Общество,Семья,Друг,Человечество,Действие,Позитив,Негатив,Беспокойство,Гнев,Грусть,Когнитив,Интуиция,Мотивация,Несоответствие,Попытка,Уверенность,Помеха,Включение,Исключение,Перцепция,Видение,Слышание,Чувствование,Биология,Тело,Здоровье,Секс,Потребление,Сравнение,Стимул,Пространство,Время,Работа,Успех,Досуг,Дом,Деньги,Религия,Смерть,Согласие,Междометие,Наполнение,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Ab7PKwdkvYjUDai6y-2rPg.txt,1,310,19.38,31.61,84.19,47.10,17.10,7.42,3.23,2.90,0.00,1.29,4.52,2.58,0.00,17.42,0.00,1.61,8.06,10.32,2.58,4.52,0.00,0.00,14.52,0.32,0.65,3.23,14.52,11.29,3.23,1.29,0.00,0.97,29.35,6.77,1.94,1.61,4.52,2.58,0.65,13.55,2.90,1.94,0.65,0.32,0.65,4.19,0.32,0.97,1.29,1.61,14.19,0.65,8.06,3.87,3.55,4.19,1.61,0.32,0.65,0.00,0.65,0.00,0.00,0.32,23.23,4.84,16.13,0.00,0.00,0.00,0.32,1.94,0.00,0.00,0.00,0.00
wdKY3PAclFy_Wc2TLNM5MQ.txt,1,306,21.86,27.78,81.37,47.39,15.36,9.80,1.96,0.65,1.63,5.23,1.63,1.31,0.00,10.78,0.00,1.63,12.09,9.80,0.98,3.59,0.00,0.00,17.65,0.00,0.00,3.59,8.50,6.21,1.31,0.33,0.33,0.65,19.61,2.94,3.59,2.61,4.58,0.65,0.00,6.54,3.59,1.63,0.98,0.65,0.00,2.94,0.00,1.96,0.00,0.98,21.57,1.63,14.38,4.25,2.94,3.59,0.33,0.00,0.65,1.31,0.00,0.00,0.33,0.98,23.20,4.58,9.48,0.00,0.00,0.00,0.00,2.61,1.31,0.00,3.92,1.31
8NFetNJdzhGZJbsLmY1IqQ.txt,1,292,14.60,40.75,83.90,40.41,8.90,5.14,0.00,0.34,0.00,2.05,4.79,0.34,0.00,9.25,0.00,2.40,9.59,10.62,4.45,1.71,1.71,0.34,14.73,0.00,0.00,3.42,10.27,5.14,3.42,1.37,2.05,0.68,25.00,5.14,3.42,0.68,2.74,2.74,3.42,5.82,2.74,1.03,0.00,1.03,0.00,2.05,0.34,1.37,0.34,0.00,21.58,2.05,11.30,6.51,2.74,3.08,0.34,0.68,0.00,0.34,1.71,1.03,0.68,1.03,17.81,4.11,9.93,0.00,0.00,2.74,0.00,0.34,0.68,0.00,0.00,0.00
Lze8ot5CiNVBpGVd6bKjKQ.txt,1,360,27.69,28.06,83.89,52.22,11.11,7.22,1.94,0.56,0.28,3.89,3.06,0.28,0.00,15.83,0.00,1.39,8.33,14.17,4.72,9.44,0.28,0.00,11.39,0.00,0.00,2.78,12.78,8.33,4.44,0.00,2.22,1.11,27.22,5.00,2.78,3.61,2.50,3.33,1.67,9.72,2.50,0.83,0.28,0.56,0.00,0.28,0.28,0.00,0.00,0.00,17.78,0.00,12.50,3.33,1.67,2.78,0.28,0.00,0.00,0.83,0.28,0.28,0.00,0.00,21.11,3.61,10.28,0.00,0.00,0.00,0.00,4.44,2.78,0.00,0.00,0.00
hahYRP5-qrNJmMjv2Pr8rg.txt,1,276,14.53,36.96,82.25,44.93,10.87,7.61,3.62,1.09,0.00,1.45,2.90,0.72,0.00,11.59,0.00,2.54,13.41,10.14,1.81,3.62,0.00,0.00,10.87,0.00,0.00,2.17,11.96,6.52,5.07,0.36,0.36,0.36,19.57,3.26,3.26,1.81,3.62,1.09,0.72,7.61,1.81,2.90,0.72,1.09,0.36,1.81,0.72,1.09,0.00,0.00,18.84,2.54,9.78,3.99,3.26,10.87,0.00,0.00,0.00,1.45,0.00,0.00,0.00,1.45,19.93,6.88,11.59,0.36,0.00,0.00,0.00,1.09,0.00,0.00,0.00,0.00
Mt1T1K6J7qB6T1eeL_es4g.txt,1,253,15.81,42.69,80.63,39.92,7.91,2.77,0.40,0.40,0.00,1.58,2.37,1.58,0.00,11.46,0.40,0.79,12.65,4.35,0.79,5.93,0.00,0.00,10.28,0.00,0.40,3.95,5.53,3.56,1.58,0.40,0.40,0.40,24.11,7.11,1.98,1.98,4.74,1.58,1.58,7.51,1.98,1.98,1.58,0.40,0.00,1.19,0.40,0.79,0.00,0.00,22.92,4.74,10.28,8.70,3.56,5.53,0.79,0.79,0.40,0.00,0.00,0.40,0.00,0.00,19.76,7.51,9.88,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.79,0.00
MT9tFCYa9tr4Lpg7st_R3Q.txt,1,319,18.76,30.41,91.22,51.10,14.11,6.90,0.63,1.25,0.63,3.45,3.76,1.57,0.00,14.11,0.00,2.82,9.09,13.48,3.45,2.51,0.00,0.00,16.30,0.00,0.00,3.76,10.66,8.46,0.31,0.94,0.00,0.31,24.76,5.64,2.19,0.94,5.02,2.51,0.00,8.78,4.70,4.08,0.94,1.25,0.63,1.88,0.00,1.57,0.00,0.31,25.08,1.88,15.36,6.58,1.88,2.51,0.00,0.00,0.63,0.00,0.00,1.25,0.31,0.63,23.51,5.02,13.48,0.00,0.00,0.31,0.00,4.08,0.63,0.00,0.00,0.00
777UKXKvVnb3_SNh80wbRQ.txt,1,521,12.40,30.33,79.46,47.22,12.09,7.68,3.07,0.38,1.92,2.30,2.88,1.54,0.19,14.01,0.00,1.54,14.01,9.79,2.50,2.88,0.77,0.19,9.79,0.00,0.00,0.96,9.40,8.45,0.77,0.38,0.19,0.19,22.65,2.30,2.88,2.11,2.50,2.30,0.19,13.63,1.73,2.30,1.54,0.58,0.19,0.77,0.38,0.00,0.19,0.38,23.61,2.88,15.16,4.61,2.50,2.88,0.96,0.19,0.38,0.96,0.00,0.19,0.00,1.15,27.83,6.33,16.70,0.77,0.00,1.54,0.58,0.77,1.15,0.00,0.00,0.00
jopXOorO58VNVBVKTHo3_A.txt,1,299,18.69,36.12,82.94,46.15,8.36,5.02,1.67,1.67,0.00,1.67,2.01,1.34,0.00,13.04,0.00,2.68,12.37,9.36,2.34,5.35,0.67,0.00,9.70,0.33,0.33,3.34,9.36,7.36,2.01,0.33,0.33,1.00,28.09,7.36,2.01,1.34,5.35,5.35,0.67,9.03,1.34,1.00,0.33,0.33,0.33,1.34,0.00,0.67,0.33,0.33,29.10,4.35,15.38,7.02,1.00,1.67,1.00,0.00,0.00,0.00,0.67,0.00,0.00,0.67,23.41,5.35,13.38,0.00,0.00,0.00,0.00,2.68,2.01,0.00,0.00,0.00
5mZR_aJv5uwoBtejxGErsA.txt,1,372,21.88,31.99,85.48,50.27,14.25,10.75,7.53,0.54,0.27,1.88,2.42,0.54,0.00,19.62,0.00,2.96,12.90,10.48,2.69,2.42,0.81,0.00,11.29,0.27,0.27,1.61,11.02,8.60,1.88,0.27,1.08,0.00,18.28,2.69,2.42,1.61,1.08,2.69,1.08,8.33,2.42,1.61,0.00,0.81,0.81,0.54,0.00,0.27,0.27,0.00,21.24,1.61,13.44,5.91,5.11,4.84,0.27,0.00,0.27,0.00,0.00,1.34,0.00,0.81,19.35,4.57,9.68,1.08,0.00,0.00,0.00,1.88,2.15,0.00,0.00,0.00
